TOKEN	FORMAT	TOK_COUNT	TOK_FRAC	DOC_COUNT	DOC_FRAC
a	L	2359334	3.48174	101511	0.999764
ª	L	39	5.75535e-05	28	0.000275767
á	L	216	0.000318758	154	0.00151672
à	L	230183	0.339688	81118	0.798917
ã	L	16	2.36117e-05	14	0.000137883
aa	L	11	1.6233e-05	11	0.000108337
Aaa	S	12	1.77088e-05	12	0.000118186
AAA	U	104	0.000153476	85	0.00083715
AABB	U	16	2.36117e-05	12	0.000118186
AAC	U	44	6.49322e-05	19	0.000187128
AACD	U	23	3.39418e-05	21	0.000206825
Aal	S	40	5.90293e-05	20	0.000196976
AAPL	U	11	1.6233e-05	11	0.000108337
Aarão	S	20	2.95146e-05	15	0.000147732
Aaron	S	325	0.000479613	234	0.00230462
AAS	U	24	3.54176e-05	21	0.000206825
AASP	U	149	0.000219884	38	0.000374255
Aava	S	15	2.2136e-05	11	0.000108337
ab	L	130	0.000191845	34	0.00033486
aba	L	571	0.000842643	383	0.0037721
abacate	L	334	0.000492894	195	0.00192052
abacates	L	26	3.8369e-05	17	0.00016743
abacaxi	L	315	0.000464855	195	0.00192052
Abad	S	72	0.000106253	13	0.000128035
abadá	L	26	3.8369e-05	21	0.000206825
abadás	L	30	4.42719e-05	23	0.000226523
Abade	S	21	3.09904e-05	12	0.000118186
abadia	L	38	5.60778e-05	22	0.000216674
Abadiânia	S	74	0.000109204	27	0.000265918
Abaeté	S	33	4.86991e-05	17	0.00016743
Abaetetuba	S	21	3.09904e-05	11	0.000108337
abafa	L	41	6.0505e-05	38	0.000374255
abafada	L	31	4.57477e-05	30	0.000295465
abafado	L	116	0.000171185	108	0.00106367
abafadores	L	18	2.65632e-05	15	0.000147732
abafados	L	29	4.27962e-05	29	0.000285616
abafamento	L	28	4.13205e-05	24	0.000236372
abafando	L	12	1.77088e-05	12	0.000118186
abafar	L	99	0.000146097	94	0.000925789
Abag	S	40	5.90293e-05	23	0.000226523
Abagge	S	42	6.19807e-05	12	0.000118186
Abaiara	S	16	2.36117e-05	15	0.000147732
abaixa	L	62	9.14954e-05	61	0.000600778
abaixada	L	16	2.36117e-05	15	0.000147732
abaixadas	L	16	2.36117e-05	15	0.000147732
abaixado	L	14	2.06602e-05	13	0.000128035
abaixando	L	18	2.65632e-05	18	0.000177279
abaixar	L	139	0.000205127	128	0.00126065
abaixe	L	36	5.31263e-05	33	0.000325011
abaixei	L	12	1.77088e-05	12	0.000118186
abaixo	L	17981	0.0265351	13702	0.134949
abaixo-assinado	LH	176	0.000259729	128	0.00126065
abaixo-assinados	LH	24	3.54176e-05	19	0.000187128
abaixou	L	52	7.6738e-05	51	0.00050229
abajur	L	17	2.50874e-05	17	0.00016743
abala	L	184	0.000271535	178	0.00175309
abalada	L	473	0.000698021	443	0.00436303
abaladas	L	31	4.57477e-05	31	0.000305313
abalado	L	398	0.000587341	367	0.00361452
abalados	L	104	0.000153476	96	0.000945487
abalam	L	64	9.44468e-05	63	0.000620476
abalando	L	40	5.90293e-05	40	0.000393953
abalar	L	255	0.000376312	246	0.00242281
abalará	L	14	2.06602e-05	13	0.000128035
abalaram	L	77	0.000113631	75	0.000738662
abalarão	L	14	2.06602e-05	12	0.000118186
abale	L	11	1.6233e-05	11	0.000108337
abalo	L	283	0.000417632	245	0.00241296
abalos	L	120	0.000177088	92	0.000906091
abalou	L	332	0.000489943	308	0.00303344
ABAMEC	U	14	2.06602e-05	14	0.000137883
abanando	L	30	4.42719e-05	28	0.000275767
abanar	L	15	2.2136e-05	12	0.000118186
abandona	L	429	0.000633089	414	0.00407741
abandonada	L	636	0.000938565	562	0.00553504
abandonadas	L	224	0.000330564	208	0.00204855
abandonado	L	738	0.00108909	669	0.00658886
abandonados	L	453	0.000668506	401	0.00394938
abandoná-la	LH	27	3.98448e-05	27	0.000265918
abandoná-lo	LH	32	4.72234e-05	32	0.000315162
abandoná-los	LH	17	2.50874e-05	17	0.00016743
abandonam	L	103	0.000152	101	0.000994731
abandonamos	L	11	1.6233e-05	11	0.000108337
abandonando	L	137	0.000202175	134	0.00131974
abandonar	L	2103	0.00310346	1977	0.0194711
abandonara	L	20	2.95146e-05	20	0.000196976
abandonará	L	38	5.60778e-05	36	0.000354558
abandonaram	L	249	0.000367457	236	0.00232432
abandonarem	L	97	0.000143146	97	0.000955336
abandonaria	L	28	4.13205e-05	28	0.000275767
abandonasse	L	21	3.09904e-05	21	0.000206825
abandonassem	L	14	2.06602e-05	14	0.000137883
abandone	L	105	0.000154952	102	0.00100458
abandonei	L	23	3.39418e-05	23	0.000226523
abandonem	L	45	6.64079e-05	43	0.000423499
abandono	L	1162	0.0017148	934	0.0091988
abandonos	L	18	2.65632e-05	18	0.000177279
abandonou	L	683	0.00100792	634	0.00624415
abarca	L	103	0.000152	99	0.000975033
abarcada	L	11	1.6233e-05	11	0.000108337
abarcadas	L	13	1.91845e-05	13	0.000128035
abarcado	L	13	1.91845e-05	13	0.000128035
abarcados	L	19	2.80389e-05	19	0.000187128
abarcam	L	25	3.68933e-05	25	0.000246221
abarcando	L	35	5.16506e-05	35	0.000344709
abarcar	L	81	0.000119534	81	0.000797754
abarque	L	13	1.91845e-05	13	0.000128035
abarrotada	L	14	2.06602e-05	14	0.000137883
abarrotadas	L	13	1.91845e-05	13	0.000128035
abarrotado	L	23	3.39418e-05	23	0.000226523
abarrotados	L	17	2.50874e-05	17	0.00016743
Abarth	S	88	0.000129864	20	0.000196976
abas	L	166	0.000244971	114	0.00112277
Abascal	S	12	1.77088e-05	12	0.000118186
abastada	L	60	8.85439e-05	58	0.000571232
abastadas	L	39	5.75535e-05	38	0.000374255
abastado	L	16	2.36117e-05	16	0.000157581
abastados	L	57	8.41167e-05	57	0.000561383
abastece	L	231	0.000340894	214	0.00210765
abastecem	L	96	0.00014167	88	0.000866696
abastecendo	L	38	5.60778e-05	37	0.000364406
abastecer	L	569	0.000839691	500	0.00492441
abasteceram	L	18	2.65632e-05	17	0.00016743
abasteceu	L	13	1.91845e-05	13	0.000128035
abastecia	L	27	3.98448e-05	25	0.000246221
abastecida	L	58	8.55924e-05	56	0.000551534
abastecidas	L	45	6.64079e-05	42	0.00041365
abastecido	L	148	0.000218408	138	0.00135914
abastecidos	L	79	0.000116583	73	0.000718964
abastecimento	L	1942	0.00286587	1392	0.0137096
abastecimentos	L	19	2.80389e-05	18	0.000177279
abate	L	291	0.000429438	227	0.00223568
abatedouro	L	13	1.91845e-05	12	0.000118186
abatem	L	13	1.91845e-05	13	0.000128035
abatendo	L	20	2.95146e-05	18	0.000177279
abater	L	278	0.000410253	242	0.00238341
abates	L	93	0.000137243	42	0.00041365
abateu	L	85	0.000125437	77	0.000758359
abatida	L	64	9.44468e-05	62	0.000610627
abatidas	L	21	3.09904e-05	17	0.00016743
abatido	L	227	0.000334991	200	0.00196976
abatidos	L	144	0.000212505	121	0.00119171
abatimento	L	313	0.000461904	240	0.00236372
abatimentos	L	32	4.72234e-05	29	0.000285616
Abatti	S	29	4.27962e-05	27	0.000265918
Abav	S	16	2.36117e-05	12	0.000118186
Abba	S	11	1.6233e-05	11	0.000108337
ABBA	U	16	2.36117e-05	12	0.000118186
Abbas	S	135	0.000199224	94	0.000925789
Abbey	S	93	0.000137243	61	0.000600778
Abbie	S	29	4.27962e-05	22	0.000216674
Abbott	S	188	0.000277438	100	0.000984882
Abbud	S	19	2.80389e-05	13	0.000128035
AbbVie	C	14	2.06602e-05	14	0.000137883
Abby	S	155	0.000228738	64	0.000630325
ABC	U	2669	0.00393873	1025	0.010095
ABCD	U	40	5.90293e-05	20	0.000196976
Abcon	S	23	3.39418e-05	13	0.000128035
ABC-RN	UH	19	2.80389e-05	17	0.00016743
Abdala	S	47	6.93594e-05	28	0.000275767
Abdalla	S	43	6.34565e-05	36	0.000354558
Abdallah	S	42	6.19807e-05	23	0.000226523
Abdel	S	88	0.000129864	80	0.000787906
Abdelmalack	S	16	2.36117e-05	11	0.000108337
Abdelmassih	S	34	5.01749e-05	20	0.000196976
Abdi	S	25	3.68933e-05	17	0.00016743
ABDI	U	60	8.85439e-05	28	0.000275767
Abdias	S	30	4.42719e-05	18	0.000177279
Abdib	S	25	3.68933e-05	13	0.000128035
abdica	L	33	4.86991e-05	33	0.000325011
abdicação	L	18	2.65632e-05	17	0.00016743
abdicado	L	11	1.6233e-05	11	0.000108337
abdicando	L	22	3.24661e-05	22	0.000216674
abdicar	L	151	0.000222835	147	0.00144778
abdicaram	L	11	1.6233e-05	11	0.000108337
abdicou	L	49	7.23108e-05	47	0.000462895
Abdo	S	92	0.000135767	65	0.000640173
abdome	L	91	0.000134292	66	0.000650022
abdômen	L	432	0.000637516	318	0.00313192
abdominais	L	193	0.000284816	152	0.00149702
abdominal	L	551	0.000813128	390	0.00384104
abdominoplastia	L	31	4.57477e-05	20	0.000196976
Abdon	S	27	3.98448e-05	14	0.000137883
Abduch	S	12	1.77088e-05	11	0.000108337
Abdul	S	95	0.000140195	67	0.000659871
Abdulaziz	S	32	4.72234e-05	23	0.000226523
Abdullah	S	99	0.000146097	75	0.000738662
Abdul-Mateen	SH	24	3.54176e-05	18	0.000177279
Abdulrahman	S	19	2.80389e-05	17	0.00016743
abduzido	L	11	1.6233e-05	11	0.000108337
Abe	S	133	0.000196272	49	0.000482592
Abear	S	42	6.19807e-05	19	0.000187128
Abeba	S	32	4.72234e-05	24	0.000236372
Abecip	S	33	4.86991e-05	15	0.000147732
Abecs	S	16	2.36117e-05	11	0.000108337
Abed	S	21	3.09904e-05	18	0.000177279
Abeer	S	11	1.6233e-05	11	0.000108337
Abefin	S	17	2.50874e-05	13	0.000128035
Abegás	S	18	2.65632e-05	12	0.000118186
Abel	S	1616	0.00238478	733	0.00721919
Abelardo	S	84	0.000123961	69	0.000679569
abelha	L	115	0.000169709	83	0.000817452
abelhas	L	449	0.000662603	148	0.00145763
abençoa	L	42	6.19807e-05	42	0.00041365
abençoada	L	65	9.59226e-05	62	0.000610627
abençoado	L	91	0.000134292	88	0.000866696
abençoados	L	46	6.78837e-05	46	0.000453046
abençoando	L	19	2.80389e-05	18	0.000177279
abençoar	L	46	6.78837e-05	39	0.000384104
abençoe	L	132	0.000194797	123	0.0012114
abençoou	L	22	3.24661e-05	20	0.000196976
Aberdeen	S	14	2.06602e-05	13	0.000128035
aberração	L	129	0.000190369	117	0.00115231
aberrações	L	50	7.37866e-05	48	0.000472743
aberrante	L	16	2.36117e-05	15	0.000147732
aberrantes	L	11	1.6233e-05	11	0.000108337
Abert	S	32	4.72234e-05	18	0.000177279
aberta	L	4560	0.00672934	3893	0.0383415
abertamente	L	706	0.00104187	631	0.00621461
abertas	L	3581	0.00528459	2606	0.025666
aberto	L	6296	0.00929121	5262	0.0518245
abertos	L	1905	0.00281127	1640	0.0161521
abertura	L	8161	0.0120434	6000	0.0590929
aberturas	L	209	0.000308428	167	0.00164475
Abeso	S	26	3.8369e-05	19	0.000187128
ABF	U	75	0.00011068	32	0.000315162
ABGLT	U	32	4.72234e-05	24	0.000236372
Abi	S	88	0.000129864	51	0.00050229
ABI	U	102	0.000150525	50	0.000492441
Abia	S	49	7.23108e-05	20	0.000196976
Abi-Ackel	SH	32	4.72234e-05	13	0.000128035
Abib	S	29	4.27962e-05	17	0.00016743
Abic	S	28	4.13205e-05	12	0.000118186
Abicieli	S	30	4.42719e-05	27	0.000265918
Abicom	S	65	9.59226e-05	40	0.000393953
Abiec	S	19	2.80389e-05	13	0.000128035
